Participant Table
Participant,Age,Sex,FBInfo
447d9d6559a5163e5297,30,0,N/A


Single-Player Game Level
Participant,GameNum,PlayerNum,Difficulty,RoundDuration,Hits,Confidence,Assets,AI_Assets,TotalTime,TargetLocations,Choices,TargetClear,TargetPossible,TargetConfirm
447d9d6559a5163e5297,1986,1,1,4,9;19;24,14
447d9d6559a5163e5297,1987,1,1,4;9;19;24,,14
447d9d6559a5163e5297,1988,1,1,4;9;14;19,,24
447d9d6559a5163e5297,1988,1,2,13;18,3;8;23,
447d9d6559a5163e5297,1989,1,1,4;9;19,14,24
447d9d6559a5163e5297,1989,1,2,3;8;13;18;23,,
447d9d6559a5163e5297,1989,1,3,2;7;12;17;22,,
447d9d6559a5163e5297,1989,1,4,0;15;20,5;10,
447d9d6559a5163e5297,1989,1,5,6;21,,1;11;16
447d9d6559a5163e5297,1991,1,1,20;21;22;24;0;1;2;3,4,23
447d9d6559a5163e5297,1991,1,2,,,
447d9d6559a5163e5297,1991,1,3,17;19;5;7;9,15,16;18;6;8
447d9d6559a5163e5297,1991,1,4,10;11;12;13;14,,
447d9d6559a5163e5297,1991,1,5,15;17;19;15;17;18,16,18;16;19
447d9d6559a5163e5297,1992,1,1,,,
447d9d6559a5163e5297,1992,1,2,20,,8
447d9d6559a5163e5297,1992,1,3,7;16,,
447d9d6559a5163e5297,1992,1,4,,,1;11
447d9d6559a5163e5297,1992,1,5,,6,
447d9d6559a5163e5297,1994,1,1,4;14;12;2,9,19;24
447d9d6559a5163e5297,1994,1,2,5;10;15;20;11;7,,0
447d9d6559a5163e5297,1994,1,3,21;21;8,11;16,1;6
447d9d6559a5163e5297,1994,1,4,3;8;13;18;23;17,,
447d9d6559a5163e5297,1994,1,5,4;9;14;19;24,22,
447d9d6559a5163e5297,1995,1,1,20;21;22;23;24;3,0;2,1;4
447d9d6559a5163e5297,1995,1,2,5;6;8;9;22,7,1
447d9d6559a5163e5297,1995,1,3,16;18,15;19,17;17
447d9d6559a5163e5297,1995,1,4,12,,
447d9d6559a5163e5297,1995,1,5,15;19;10;11;4,16;18;13;14,17;12;11
447d9d6559a5163e5297,1996,1,1,4;14;12,,9;19;24
447d9d6559a5163e5297,1996,1,2,0;5;15;9;24,20,10
447d9d6559a5163e5297,1996,1,3,8;13;18;23,3,19
447d9d6559a5163e5297,1996,1,4,6;11;21;17,1;16,
447d9d6559a5163e5297,1996,1,5,4;9;14;24,,19;1
447d9d6559a5163e5297,1997,1,1,9;24;12,4,14;19
447d9d6559a5163e5297,1997,1,2,12;17;22,,2;7;3;19
447d9d6559a5163e5297,1997,1,3,1;6;11;16;18,,21;3
447d9d6559a5163e5297,1997,1,4,10;14,20,0;5;15
447d9d6559a5163e5297,1997,1,5,0;10;0,15;20,5
447d9d6559a5163e5297,2145,1,1,,,
447d9d6559a5163e5297,2145,1,2,,,
447d9d6559a5163e5297,2145,1,3,,,
447d9d6559a5163e5297,2145,1,4,,,
447d9d6559a5163e5297,2145,1,5,,,
447d9d6559a5163e5297,2146,1,1,,,
447d9d6559a5163e5297,2146,1,2,,,
447d9d6559a5163e5297,2146,1,3,,,
447d9d6559a5163e5297,2146,1,4,,,
447d9d6559a5163e5297,2146,1,5,,,
447d9d6559a5163e5297,2150,1,1,,,
447d9d6559a5163e5297,2150,1,2,,,
447d9d6559a5163e5297,2150,1,3,,,
447d9d6559a5163e5297,2150,1,4,,,
447d9d6559a5163e5297,2150,1,5,,,
447d9d6559a5163e5297,2151,1,1,,,
447d9d6559a5163e5297,2151,1,2,,,
447d9d6559a5163e5297,2151,1,3,,,
447d9d6559a5163e5297,2151,1,4,,,
447d9d6559a5163e5297,2151,1,5,,,
447d9d6559a5163e5297,2197,1,1,,,
447d9d6559a5163e5297,2200,1,1,,,12
447d9d6559a5163e5297,2205,1,1,20;21;22;23;5;7;8;9;14,,24;6;24
447d9d6559a5163e5297,2205,1,2,8;18,,
447d9d6559a5163e5297,2205,1,3,16;17;18;19,12,15;2
447d9d6559a5163e5297,2205,1,4,,,
447d9d6559a5163e5297,2205,1,5,10;11;13;0;1;2;3,12;14;4,20
447d9d6559a5163e5297,2216,1,1,11;12,10;13,14
447d9d6559a5163e5297,2218,1,1,,,
447d9d6559a5163e5297,2219,1,1,,,
447d9d6559a5163e5297,2220,1,1,,,
447d9d6559a5163e5297,2221,1,1,20;21;22;24,23,
447d9d6559a5163e5297,2222,1,1,1;6;16;21,,11
447d9d6559a5163e5297,2222,1,2,5,,
447d9d6559a5163e5297,2223,1,1,,,
