pydev debugger: starting (pid: 6680)
Participant Table
Participant,Age,Sex,FBInfo
f993485cdcad266475f7,15130,1,2,6,22,,
bot,15130,2,2,0,2;17;22,7,12
bot,15130,2,2,3,,,3
bot,15130,2,2,4,,,
f993485cdcad266475f7,15130,1,3,1,16;17;18,15,19
f993485cdcad266475f7,15130,1,3,2,11;13;14,10,12
f993485cdcad266475f7,15130,1,3,5,,,8
f993485cdcad266475f7,15130,1,3,6,,18,
bot,15130,2,3,0,4;14;24,9,19
bot,15130,2,3,3,4,,
bot,15130,2,3,4,,,
f993485cdcad266475f7,15130,1,4,1,,,
f993485cdcad266475f7,15130,1,4,2,,,
f993485cdcad266475f7,15130,1,4,5,,,12
f993485cdcad266475f7,15130,1,4,6,,,19
bot,15130,2,4,0,2;7;12,17;22,
bot,15130,2,4,3,14,,
bot,15130,2,4,4,,,
f993485cdcad266475f7,15130,1,5,1,20;21;22;23;24,,
f993485cdcad266475f7,15130,1,5,2,,,
f993485cdcad266475f7,15130,1,5,5,,,7
f993485cdcad266475f7,15130,1,5,6,13,,
bot,15130,2,5,0,2;17;22,,7;12
bot,15130,2,5,3,2,,
bot,15130,2,5,4,,,
f993485cdcad266475f7,15144,1,1,0,10;20,,0;5;15
f993485cdcad266475f7,15144,1,1,3,,,8
f993485cdcad266475f7,15144,1,1,4,16,,
bot,15144,2,1,1,12;14,,10;11;13
bot,15144,2,1,2,10;11;13,14,12
bot,15144,2,1,5,,,15
bot,15144,2,1,6,21,,
f993485cdcad266475f7,15144,1,2,0,,,
f993485cdcad266475f7,15144,1,2,3,,,
f993485cdcad266475f7,15144,1,2,4,,,
bot,15144,2,2,1,,,
bot,15144,2,2,2,10;11;12;13;14,,
bot,15144,2,2,5,,,
bot,15144,2,2,6,,21,
f993485cdcad266475f7,15145,1,1,0,0;5;15,,10;20
f993485cdcad266475f7,15145,1,1,3,,,
f993485cdcad266475f7,15145,1,1,4,,,
bot,15145,2,1,1,21;22;23;24,,20
bot,15145,2,1,2,5;6;7,8;9,
bot,15145,2,1,5,,,14
bot,15145,2,1,6,22,,
f993485cdcad266475f7,15145,1,2,0,6;21,1,11;16
f993485cdcad266475f7,15145,1,2,3,8,,
f993485cdcad266475f7,15145,1,2,4,,17,
bot,15145,2,2,1,,,
bot,15145,2,2,2,1;4,0;2;3,
bot,15145,2,2,5,14,,
bot,15145,2,2,6,22,,
f993485cdcad266475f7,15145,1,3,0,4;14;19,9,24
f993485cdcad266475f7,15145,1,3,3,7,,
f993485cdcad266475f7,15145,1,3,4,,,
bot,15145,2,3,1,17;18;19,16,15
bot,15145,2,3,2,5;6;7;8,9,
bot,15145,2,3,5,,,14
bot,15145,2,3,6,,17,
f993485cdcad266475f7,15145,1,4,0,2;12;22,7,17
f993485cdcad266475f7,15145,1,4,3,12,,
f993485cdcad266475f7,15145,1,4,4,,,
bot,15145,2,4,1,,,
bot,15145,2,4,2,0;1;2;3;4,,
bot,15145,2,4,5,,,14
bot,15145,2,4,6,,12,
f993485cdcad266475f7,15145,1,5,0,3;8;13;18;23,,
f993485cdcad266475f7,15145,1,5,3,,,18
f993485cdcad266475f7,15145,1,5,4,,,
bot,15145,2,5,1,10;11;12;13;14,,
bot,15145,2,5,2,21;22,20;23;24,
bot,15145,2,5,5,14,,
bot,15145,2,5,6,,17,
f993485cdcad266475f7,15146,1,1,0,0,10;15;20,5
f993485cdcad266475f7,15146,1,1,3,,,
f993485cdcad266475f7,15146,1,1,4,,,
bot,15146,2,1,1,20;22;23;24,,21
bot,15146,2,1,2,16;17;18;19,15,
bot,15146,2,1,5,16,,
bot,15146,2,1,6,,,
f993485cdcad266475f7,15185,1,1,0,0;5;10;20,,15
f993485cdcad266475f7,15185,1,1,3,,,
f993485cdcad266475f7,15185,1,1,4,,,
bot,15185,2,1,1,11;13;14,,10;12
bot,15185,2,1,2,11;13;14,10,12
bot,15185,2,1,5,,13,
bot,15185,2,1,6,,,
f993485cdcad266475f7,15185,1,2,0,1;11;16,6,21
f993485cdcad266475f7,15185,1,2,3,3,,
f993485cdcad266475f7,15185,1,2,4,16,,
bot,15185,2,2,1,,,
bot,15185,2,2,2,,,
bot,15185,2,2,5,17,,
bot,15185,2,2,6,,,
f993485cdcad266475f7,15185,1,3,0,12;17,2;22,7
f993485cdcad266475f7,15185,1,3,3,,15,
f993485cdcad266475f7,15185,1,3,4,11,,
bot,15185,2,3,1,10;12,11;14,13
bot,15185,2,3,2,,,
bot,15185,2,3,5,,,16
bot,15185,2,3,6,,,
f993485cdcad266475f7,15185,1,4,0,4;9;14;19,,24
f993485cdcad266475f7,15185,1,4,3,13,,
f993485cdcad266475f7,15185,1,4,4,,7,
bot,15185,2,4,1,,,
bot,15185,2,4,2,,,
bot,15185,2,4,5,,11,
bot,15185,2,4,6,20,,
f993485cdcad266475f7,15185,1,5,0,8;18,23,3;13
f993485cdcad266475f7,15185,1,5,3,,,
f993485cdcad266475f7,15185,1,5,4,,7,
bot,15185,2,5,1,15;16;17;19,,18
bot,15185,2,5,2,6;9,8,5;7
bot,15185,2,5,5,,,
bot,15185,2,5,6,20,,
fb5fe58a0f24db0236ee,15187,1,1,1,12;14,13,10;11
fb5fe58a0f24db0236ee,15187,1,1,2,19,16;18,15;17
fb5fe58a0f24db0236ee,15187,1,1,5,,21,
fb5fe58a0f24db0236ee,15187,1,1,6,,,23
bot,15187,2,1,0,0;5;10;15;20,,
bot,15187,2,1,3,,11,
bot,15187,2,1,4,10,,
